id,season,city,date,team1,team2,toss_winner,toss_decision,winner,venue,result,result_margin,player_of_match
490,2021,Narendra,2021-05-05,SRH,PBKS,SRH,bat,SRH,Narendra Modi Stadium,normal,20,Player_169
491,2022,Narendra,2022-04-01,RCB,KKR,KKR,field,KKR,Narendra Modi Stadium,normal,49,Player_71
492,2022,Rajiv,2022-04-02,RR,SRH,SRH,field,RR,Rajiv Gandhi Stadium,normal,24,Player_92
493,2022,Wankhede,2022-04-03,RR,DC,DC,bat,DC,Wankhede Stadium,normal,22,Player_169
494,2022,Rajiv,2022-04-04,RR,DC,DC,field,DC,Rajiv Gandhi Stadium,normal,43,Player_18
495,2022,Eden,2022-04-05,RR,DC,RR,field,DC,Eden Gardens,normal,45,Player_42
496,2022,Eden,2022-04-06,GT,CSK,GT,field,CSK,Eden Gardens,normal,20,Player_84
497,2022,Chinnaswamy,2022-04-07,DC,RCB,RCB,bat,DC,Chinnaswamy Stadium,normal,39,Player_65
498,2022,Wankhede,2022-04-08,SRH,PBKS,SRH,bat,SRH,Wankhede Stadium,normal,17,Player_166
499,2022,Eden,2022-04-09,LSG,DC,DC,bat,LSG,Eden Gardens,normal,38,Player_76
500,2022,Arun,2022-04-10,RCB,SRH,SRH,field,SRH,Arun Jaitley Stadium,normal,23,Player_70
501,2022,Chepauk,2022-04-11,SRH,MI,SRH,bat,MI,Chepauk Stadium,normal,28,Player_45
502,2022,Wankhede,2022-04-12,MI,RR,MI,bat,RR,Wankhede Stadium,normal,1,Player_165
503,2022,Narendra,2022-04-13,CSK,LSG,LSG,bat,CSK,Narendra Modi Stadium,normal,15,Player_72
504,2022,Arun,2022-04-14,GT,MI,GT,bat,MI,Arun Jaitley Stadium,normal,22,Player_74
505,2022,Arun,2022-04-15,DC,LSG,LSG,field,LSG,Arun Jaitley Stadium,normal,38,Player_187
506,2022,Rajiv,2022-04-16,DC,RR,RR,field,DC,Rajiv Gandhi Stadium,normal,47,Player_69
507,2022,Rajiv,2022-04-17,SRH,KKR,KKR,bat,KKR,Rajiv Gandhi Stadium,normal,8,Player_14
508,2022,Narendra,2022-04-18,RCB,KKR,RCB,field,RCB,Narendra Modi Stadium,normal,5,Player_200
509,2022,Narendra,2022-04-19,CSK,SRH,SRH,field,SRH,Narendra Modi Stadium,normal,9,Player_145
510,2022,Rajiv,2022-04-20,DC,CSK,DC,field,CSK,Rajiv Gandhi Stadium,normal,40,Player_115
511,2022,Chinnaswamy,2022-04-21,CSK,SRH,CSK,field,CSK,Chinnaswamy Stadium,normal,7,Player_16
512,2022,Narendra,2022-04-22,KKR,DC,KKR,field,DC,Narendra Modi Stadium,normal,30,Player_141
513,2022,Eden,2022-04-23,SRH,MI,MI,field,SRH,Eden Gardens,normal,38,Player_89
514,2022,Wankhede,2022-04-24,RCB,RR,RCB,bat,RCB,Wankhede Stadium,normal,2,Player_196
515,2022,Narendra,2022-04-25,KKR,PBKS,PBKS,bat,KKR,Narendra Modi Stadium,normal,26,Player_112
516,2022,Arun,2022-04-26,GT,PBKS,PBKS,bat,PBKS,Arun Jaitley Stadium,normal,25,Player_132
517,2022,Eden,2022-04-27,RR,PBKS,RR,field,PBKS,Eden Gardens,normal,5,Player_172
518,2022,Narendra,2022-04-28,RCB,PBKS,PBKS,field,RCB,Narendra Modi Stadium,normal,15,Player_155
519,2022,Rajiv,2022-04-29,DC,GT,DC,bat,DC,Rajiv Gandhi Stadium,normal,11,Player_186
520,2022,Arun,2022-04-30,RCB,PBKS,RCB,bat,PBKS,Arun Jaitley Stadium,normal,16,Player_23
521,2022,Chepauk,2022-05-01,CSK,RCB,CSK,field,CSK,Chepauk Stadium,normal,37,Player_95
522,2022,Arun,2022-05-02,RR,SRH,RR,bat,SRH,Arun Jaitley Stadium,normal,10,Player_132
523,2022,Narendra,2022-05-03,RR,GT,RR,field,GT,Narendra Modi Stadium,normal,41,Player_41
524,2022,Eden,2022-05-04,LSG,GT,LSG,bat,LSG,Eden Gardens,normal,38,Player_113
525,2022,Eden,2022-05-05,PBKS,RR,RR,field,PBKS,Eden Gardens,normal,28,Player_44
526,2023,Arun,2023-04-01,DC,RCB,DC,bat,RCB,Arun Jaitley Stadium,normal,44,Player_133
527,2023,Eden,2023-04-02,GT,PBKS,GT,bat,PBKS,Eden Gardens,normal,22,Player_21
528,2023,Rajiv,2023-04-03,KKR,RR,KKR,field,RR,Rajiv Gandhi Stadium,normal,45,Player_5
529,2023,Chinnaswamy,2023-04-04,MI,SRH,MI,field,SRH,Chinnaswamy Stadium,normal,20,Player_150
530,2023,Wankhede,2023-04-05,RR,CSK,CSK,bat,RR,Wankhede Stadium,normal,41,Player_160
531,2023,Wankhede,2023-04-06,KKR,PBKS,PBKS,field,PBKS,Wankhede Stadium,normal,27,Player_43
532,2023,Narendra,2023-04-07,GT,MI,MI,field,GT,Narendra Modi Stadium,normal,33,Player_69
533,2023,Eden,2023-04-08,KKR,SRH,KKR,field,KKR,Eden Gardens,normal,22,Player_67
534,2023,Chinnaswamy,2023-04-09,PBKS,DC,PBKS,bat,DC,Chinnaswamy Stadium,normal,21,Player_139
535,2023,Arun,2023-04-10,PBKS,DC,PBKS,bat,DC,Arun Jaitley Stadium,normal,33,Player_25
536,2023,Rajiv,2023-04-11,PBKS,CSK,CSK,bat,CSK,Rajiv Gandhi Stadium,normal,28,Player_145
537,2023,Narendra,2023-04-12,MI,DC,MI,bat,DC,Narendra Modi Stadium,normal,5,Player_13
538,2023,Arun,2023-04-13,PBKS,KKR,KKR,field,PBKS,Arun Jaitley Stadium,normal,30,Player_167
539,2023,Eden,2023-04-14,CSK,RR,RR,bat,RR,Eden Gardens,normal,44,Player_74
540,2023,Rajiv,2023-04-15,CSK,GT,GT,bat,CSK,Rajiv Gandhi Stadium,normal,12,Player_115
541,2023,Eden,2023-04-16,PBKS,CSK,PBKS,bat,PBKS,Eden Gardens,normal,44,Player_195
542,2023,Narendra,2023-04-17,GT,MI,GT,bat,MI,Narendra Modi Stadium,normal,47,Player_104
543,2023,Chepauk,2023-04-18,DC,PBKS,PBKS,bat,DC,Chepauk Stadium,normal,12,Player_90
544,2023,Rajiv,2023-04-19,LSG,DC,DC,bat,DC,Rajiv Gandhi Stadium,normal,6,Player_27
545,2023,Rajiv,2023-04-20,MI,CSK,MI,field,CSK,Rajiv Gandhi Stadium,normal,11,Player_200
546,2023,Narendra,2023-04-21,MI,RR,RR,bat,MI,Narendra Modi Stadium,normal,16,Player_165
547,2023,Rajiv,2023-04-22,KKR,GT,GT,field,KKR,Rajiv Gandhi Stadium,normal,14,Player_130
548,2023,Chepauk,2023-04-23,LSG,RR,RR,bat,LSG,Chepauk Stadium,normal,44,Player_106
549,2023,Chepauk,2023-04-24,SRH,MI,SRH,field,SRH,Chepauk Stadium,normal,17,Player_95
550,2023,Chepauk,2023-04-25,RCB,DC,DC,bat,DC,Chepauk Stadium,normal,32,Player_79
551,2023,Narendra,2023-04-26,SRH,DC,SRH,field,DC,Narendra Modi Stadium,normal,6,Player_173
552,2023,Wankhede,2023-04-27,GT,DC,DC,field,DC,Wankhede Stadium,normal,28,Player_88
553,2023,Narendra,2023-04-28,GT,DC,GT,field,GT,Narendra Modi Stadium,normal,16,Player_110
554,2023,Chepauk,2023-04-29,RR,PBKS,PBKS,bat,PBKS,Chepauk Stadium,normal,39,Player_187
555,2023,Wankhede,2023-04-30,RCB,GT,RCB,bat,RCB,Wankhede Stadium,normal,41,Player_182
556,2023,Chepauk,2023-05-01,LSG,PBKS,PBKS,field,LSG,Chepauk Stadium,normal,50,Player_180
557,2023,Chepauk,2023-05-02,PBKS,RCB,PBKS,field,PBKS,Chepauk Stadium,normal,30,Player_57
558,2023,Arun,2023-05-03,DC,PBKS,DC,field,DC,Arun Jaitley Stadium,normal,8,Player_93
559,2023,Wankhede,2023-05-04,PBKS,CSK,PBKS,bat,CSK,Wankhede Stadium,normal,12,Player_25
560,2023,Chepauk,2023-05-05,GT,SRH,GT,field,GT,Chepauk Stadium,normal,19,Player_143
